# y+ ()           
# Time            	patch             	min               	max               	average           
0.2               	wing	1.8052293716e-01	1.2216741268e+00	6.1173375344e-01
0.4               	wing	1.2865872033e-01	1.3016404883e+00	5.2169683194e-01
0.6               	wing	9.9053481126e-02	1.3649381179e+00	4.7754769713e-01
0.8               	wing	7.8158459875e-02	1.4226582793e+00	4.4724166938e-01
